"*","*"
"Dest Country","Dest Country"
"Dest Region/State","Dest Region/State"
"Dest Zip/Postal Code","Dest Zip/Postal Code"
"* or blank - matches any","* or blank - matches any"
"Condition Name","Condition Name"
"Condition Value","Condition Value"
"Price","Price"
"Cost","Cost"
"Notes","Notes"
"New Rate","New Rate"
"Edit Rate '%s'","Edit Rate '%s'"
"Save Rate","Save Rate"
"Delete Rate","Delete Rate"
"No table rates found.","No table rates found."
"CSV","CSV"
"Excel XML","Excel XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"All Websites","All Websites"
"Add New Rate","Add New Rate"
"Shipping Table Rates","Shipping Table Rates"
"Duplicate rate.","Duplicate rate."
"Sales","Sales"
"Shipping","Shipping"
"Shipping Table Rates","Shipping Table Rates"
"Edit Rate","Edit Rate"
"This rate no longer exists.","This rate no longer exists."
"The rate has been saved.","The rate has been saved."
"An error occurred while saving the rate.","An error occurred while saving the rate."
"Unable to find a rate to delete.","Unable to find a rate to delete."
"The rate has been deleted.","The rate has been deleted."
"Please select rate(s).","Please select rate(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Choose Website","Choose Website"
"Please confirm website switching. All data that hasn't been saved will be lost.","Please confirm website switching. All data that hasn't been saved will be lost."
