"[WEBSITE]","[WEBSITE]"
"[GLOBAL]","[GLOBAL]"
"Batch Price","Batch Price"
"Batch Special Price","Batch Special Price"
"Inventory","Inventory"
"Priority","Priority"
"Warehouse Priority","Warehouse Priority"
"Shelves","Shelves"
"Shipping Carriers","Shipping Carriers"
"Invalid model for single assignment method: %","Invalid model for single assignment method: %"
"Invalid model for multiple assignment method: %","Invalid model for multiple assignment method: %"
"Warehouses","Warehouses"
"Qty","Qty"
"%s Qty","%s Qty"
"%s miles away","%s miles away"
"%s nautical miles away","%s nautical miles away"
"%s kilometers away","%s kilometers away"
"%s away","%s away"
"Shipping method must be specified for %s warehouse.","Shipping method must be specified for %s warehouse."
"Single","Single"
"Multiple","Multiple"
"ID","ID"
"Code","Code"
"Title","Title"
"Priority","Priority"
"Origin","Origin"
"Duplicate website tier price warehouse, customer group and quantity.","Duplicate website tier price warehouse, customer group and quantity."
"No shipping method selected.","No shipping method selected."
"Incorrect shipping method selected for %s warehouse.","Incorrect shipping method selected for %s warehouse."
"Incorrect shipping method selected.","Incorrect shipping method selected."
"No shipping method selected for %s warehouse.","No shipping method selected for %s warehouse."
"No shipping method selected.","No shipping method selected."
"Invalid Warehouse \"%s\" in the Row #%s.","Invalid Warehouse \"%s\" in the Row #%s."
"Duplicate Row #%s (Warehouse \"%s\", Country \"%s\", Region/State \"%s\", Zip \"%s\" and Value \"%s\").","Duplicate Row #%s (Warehouse \"%s\", Country \"%s\", Region/State \"%s\", Zip \"%s\" and Value \"%s\")."
"Duplicate area.","Duplicate area."
"Warehouse code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Warehouse code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"Warehouse with the same code already exists.","Warehouse with the same code already exists."
"Warehouse with the same title already exists.","Warehouse with the same title already exists."
"The default warehouse can't be deleted.","The default warehouse can't be deleted."
"The orders has been created.","The orders has been created."
"The order has been created.","The order has been created."
"Order saving error: %s","Order saving error: %s"
"Catalog","Catalog"
"Manage Warehouses","Manage Warehouses"
"New Warehouse","New Warehouse"
"Edit Warehouse","Edit Warehouse"
"This warehouse no longer exists.","This warehouse no longer exists."
"The warehouse has been saved.","The warehouse has been saved."
"An error occurred while saving the warehouse.","An error occurred while saving the warehouse."
"Unable to find a warehouse to delete.","Unable to find a warehouse to delete."
"The warehouse has been deleted.","The warehouse has been deleted."
"This area no longer exists.","This area no longer exists."
"The area has been saved.","The area has been saved."
"An error occurred while saving the area: %s.","An error occurred while saving the area: %s."
"The area has been deleted.","The area has been deleted."
"Your shipping address has been changed.","Your shipping address has been changed."
"Cart has been reset.","Cart has been reset."
"Cannot reset cart.","Cannot reset cart."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Warehouse has been updated.","Warehouse has been updated."
"Warehouse has been reset.","Warehouse has been reset."
"Product quote has been updated.","Product quote has been updated."
"Product quote has been reset.","Product quote has been reset."
"Save Warehouse","Save Warehouse"
"Delete Warehouse","Delete Warehouse"
"Warehouses Section","Warehouses Section"
"Retrieve stock data by product ids and stock identifier","Retrieve stock data by product ids and stock identifier"
"Update product stock data by stock identifier","Update product stock data by stock identifier"
"New Warehouse Order","New Warehouse Order"
"New Warehouse Order for Guest","New Warehouse Order for Guest"
"Assigned Stores","Assigned Stores"
"Assigned Customer Groups","Assigned Customer Groups"
"Assigned Currencies","Assigned Currencies"
"Assigned Areas","Assigned Areas"
"Nearest","Nearest"
"Manual","Manual"
"Lowest Subtotal","Lowest Subtotal"
"Lowest Shipping","Lowest Shipping"
"Lowest Tax","Lowest Tax"
"Lowest Grand Total","Lowest Grand Total"
"Options","Options"
"Mode","Mode"
"Display Information","Display Information"
"Sort by","Sort by"
"Display Origin","Display Origin"
"Display Distance","Display Distance"
"Distance Unit","Distance Unit"
"Display Description","Display Description"
"Assignment Method","Assignment Method"
"Allow Adjustment","Allow Adjustment"
"Split Order","Split Order"
"Create separated orders for each warehouse.","Create separated orders for each warehouse."
"Split Qty for Delivery","Split Qty for Delivery"
"Allows one product delivery from several warehouses for a single order. It takes place if a product is not available in a requested quantity in any warehouse.","Allows one product delivery from several warehouses for a single order. It takes place if a product is not available in a requested quantity in any warehouse."
"Force No Backorders for Cart","Force No Backorders for Cart"
"Force No Backorders for Cart Item","Force No Backorders for Cart Item"
"Display Out of Stock","Display Out of Stock"
"Display Availability","Display Availability"
"Display Qty","Display Qty"
"Display Tax","Display Tax"
"Display Shipping","Display Shipping"
"Display Backend Grid Qty","Display Backend Grid Qty"
"Display Backend Grid Batch Prices","Display Backend Grid Batch Prices"
"Enable Shelves","Enable Shelves"
"Shipping","Shipping"
"Enable Carrier Filter","Enable Carrier Filter"
"Warehouse Order","Warehouse Order"
"Enabled","Enabled"
"New Order Email Sender","New Order Email Sender"
"New Order Template","New Order Template"
"New Order Template for Guest","New Order Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Retrieve stock data by product ids and stock id","Retrieve stock data by product ids and stock id"
"Update product stock data and stock id","Update product stock data and stock id"
"No warehouse","No warehouse"
"Price","Price"
"Default","Default"
"Warehouse","Warehouse"
"Manage Stock","Manage Stock"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Out of Stock Qty","Out of Stock Qty"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Min Allowed Qty","Min Allowed Qty"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Max Allowed Qty","Max Allowed Qty"
"Qty Uses Decimals","Qty Uses Decimals"
"Decimals","Decimals"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Notify Qty Below","Notify Qty Below"
"Enable Qty Increments","Enable Qty Increments"
"Enable Qty Inc.","Enable Qty Inc."
"Qty Increments","Qty Increments"
"Qty Inc.","Qty Inc."
"Stock Availability","Stock Availability"
"Customer Group","Customer Group"
"Action","Action"
"All Warehouses","All Warehouses"
"+","+"
"Name","Name"
"Shipping Methods","Shipping Methods"
"There are no shipping methods available for %s warehouse.","There are no shipping methods available for %s warehouse."
"Warehouse:","Warehouse:"
"Product Name","Product Name"
"In Stock","In Stock"
"Subtotal","Subtotal"
"Tax","Tax"
"Shipping","Shipping"
"Incl. Tax","Incl. Tax"
"There are no shipping methods available.","There are no shipping methods available."
"Reset","Reset"
"Update","Update"
"There are no shipping methods available for %s warehouse.","There are no shipping methods available for %s warehouse."
"Shipping method has not been selected for the %s warehouse yet","Shipping method has not been selected for the %s warehouse yet"
"Your orders have been received.","Your orders have been received."
"Thank you for your purchase!","Thank you for your purchase!"
"Order #","Order #"
"Order Total","Order Total"
"Status","Status"
"You will receive the order confirmation emails with details of your orders and a link to track their progress.","You will receive the order confirmation emails with details of your orders and a link to track their progress."
"Reset Cart","Reset Cart"
"Order Warehouse: ","Order Warehouse: "
"Choose Warehouse","Choose Warehouse"
"Tab","Tab"
"Area","Area"
"Yes","Yes"
"No","No"
"Zip/Postal Code is Range","Zip/Postal Code is Range"
"'*' - matches any.","'*' - matches any."
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
"Submit","Submit"
"Add Area","Add Area"
"Are you sure you want to delete area?","Are you sure you want to delete area?"
"Action","Action"
"Contact","Contact"
"Notify?","Notify?"
"Email","Email"
"Currencies","Currencies"
"Customer Groups","Customer Groups"
"General","General"
"Description","Description"
"Region/State","Region/State"
"ZIP/Postal Code","ZIP/Postal Code"
"Type","Type"
"Attrib. Set Name","Attrib. Set Name"
"SKU","SKU"
"Visibility","Visibility"
"Websites","Websites"
"Credit Memo #","Credit Memo #"
"Created At","Created At"
"Order #","Order #"
"Order Date","Order Date"
"Bill to Name","Bill to Name"
"Refunded","Refunded"
"View","View"
"Invoice #","Invoice #"
"Invoice Date","Invoice Date"
"Purchased From (Store)","Purchased From (Store)"
"Purchased On","Purchased On"
"Ship to Name","Ship to Name"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Shipment #","Shipment #"
"Date Shipped","Date Shipped"
"Total Qty","Total Qty"
"Shipping Carriers","Shipping Carriers"
"Stores","Stores"
"Warehouse Information","Warehouse Information"
"Areas","Areas"
"Products","Products"
"Orders","Orders"
"Invoices","Invoices"
"Shipments","Shipments"
"Credit Memos","Credit Memos"
"Edit Warehouse '%s'","Edit Warehouse '%s'"
"New Warehouse","New Warehouse"
"Save Warehouse","Save Warehouse"
"Delete Warehouse","Delete Warehouse"
"No warehouses found","No warehouses found"
"Origin Country","Origin Country"
"Origin Region/State","Origin Region/State"
"Origin Postal Code","Origin Postal Code"
"Origin City","Origin City"
"Manage Warehouses","Manage Warehouses"
"Add New Warehouse","Add New Warehouse"
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Please specify shipping method.","Please specify shipping method."
"There are no shipping methods available for %s warehouse.","There are no shipping methods available for %s warehouse."
"There are no shipping methods available.","There are no shipping methods available."
"Please specify shipping method for %s warehouse.","Please specify shipping method for %s warehouse."
"Please specify shipping method.","Please specify shipping method."
"My Pending Payments","My Pending Payments"
"Customer Pending Payments","Customer Pending Payments"
"Pending Payments Info","Pending Payments Info"
"You have no pending payments.","You have no pending payments."
"Order #","Order #"
"Date","Date"
"Ship To","Ship To"
"Order Total","Order Total"
"Make Payment","Make Payment"
"Table Rates","Table Rates"
"Manage Table Rates","Manage Table Rates"
"Manage Table Rate Methods","Manage Table Rate Methods"
"Invalid Method \"%s\" in the Row #%s.","Invalid Method \"%s\" in the Row #%s."
"Duplicate Row #%s (Warehouse \"%s\", Country \"%s\", Region/State \"%s\", Zip \"%s\", Value \"%s\" and Method \"%s\").","Duplicate Row #%s (Warehouse \"%s\", Country \"%s\", Region/State \"%s\", Zip \"%s\", Value \"%s\" and Method \"%s\")."
"Method with the same code already exists.","Method with the same code already exists."
"Method with the same name already exists.","Method with the same name already exists."
"The default method can't be deleted.","The default method can't be deleted."
"Sales","Sales"
"New Method","New Method"
"Edit Method","Edit Method"
"This method no longer exists.","This method no longer exists."
"The method has been saved.","The method has been saved."
"An error occurred while saving the method.","An error occurred while saving the method."
"Unable to find a method to delete.","Unable to find a method to delete."
"The method has been deleted.","The method has been deleted."
"Please select method(s).","Please select method(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Method","Method"
"Add New Method","Add New Method"
"Shipping Table Rate Methods","Shipping Table Rate Methods"
"Edit Method '%s'","Edit Method '%s'"
"Save Method","Save Method"
"Delete Method","Delete Method"
"No table rate methods found.","No table rate methods found."
"Are you sure?","Are you sure?"
"Delete","Delete"
"Tax Class","Tax Class"
"Warehouse Tax Class","Warehouse Tax Class"
